slug,family,type,name,name_fr,description_en,description_fr,official_url
medical-ethics,health_biotech_medtech,knowledge,Medical Ethics,Éthique médicale,Explores moral principles guiding medical practice and research.,Explore les principes moraux guidant la pratique et la recherche médicales.,
mental-health-science,health_biotech_medtech,knowledge,Mental Health Science,Science de la santé mentale,"Study of mental health conditions, their causes, and treatment approaches.","Étude des troubles de la santé mentale, de leurs causes et des approches de traitement.",
molecular-biology,business_operations_management,knowledge,Molecular Biology,Biologie moléculaire,"Study of biological processes at the molecular level, including DNA and protein functions.","Étude des processus biologiques au niveau moléculaire, y compris l'ADN et les fonctions des protéines.",
open-government,law_compliance_governance,knowledge,Open Government,Gouvernement ouvert,Principles and practices promoting transparency and citizen participation in government.,Principes et pratiques favorisant la transparence et la participation citoyenne dans le gouvernement.,
patient-safety,health_biotech_medtech,knowledge,Patient Safety,Sécurité des patients,Ensuring healthcare practices minimize risks and protect patient well-being.,Assurer que les pratiques de santé minimisent les risques et protègent le bien-être des patients.,
pedagogy,education_learning_tech,knowledge,Pedagogy,Pédagogie,Study of teaching methods and how to improve learning experiences.,Étude des méthodes d'enseignement et de l'amélioration des expériences d'apprentissage.,
pharmacology,health_biotech_medtech,knowledge,Pharmacology,Pharmacologie,"Study of drugs, their effects, and their use in medical treatment.","Étude des médicaments, de leurs effets et de leur utilisation en traitement médical.",
physiology,health_biotech_medtech,knowledge,Physiology,Physiologie,Study of how the human body functions and maintains homeostasis.,Étude du fonctionnement du corps humain et du maintien de l'homéostasie.,
platform-economics,business_operations_management,knowledge,Platform Economics,Économie des plateformes,Analysis of economic models based on digital platforms and network effects.,Analyse des modèles économiques basés sur les plateformes numériques et les effets de réseau.,
power-systems,sustainability_climate_energy_agri,knowledge,Power Systems,Systèmes électriques,"Study of electrical generation, transmission, and distribution systems.","Étude des systèmes de production, de transmission et de distribution d'électricité.",
property-law,law_compliance_governance,knowledge,Property Law,Droit immobilier,Legal rules governing ownership and use of property assets.,Règles juridiques régissant la propriété et l'utilisation des biens immobiliers.,
public-administration,law_compliance_governance,knowledge,Public Administration,Administration publique,Management and organization of government agencies and public policies.,Gestion et organisation des agences gouvernementales et des politiques publiques.,
public-transit-operations,business_operations_management,knowledge,Public Transit Operations,Opérations de transport public,Management of public transportation services and infrastructure.,Gestion des services et infrastructures de transport public.,
real-estate-markets,business_operations_management,knowledge,Real Estate Markets,Marchés immobiliers,"Analysis of property markets, trends, and investment opportunities.","Analyse des marchés immobiliers, des tendances et des opportunités d'investissement.",
retail-economics,business_operations_management,knowledge,Retail Economics,Économie du commerce de détail,Study of economic factors influencing retail businesses and consumer behavior.,Étude des facteurs économiques influençant le commerce de détail et le comportement des consommateurs.,
retail-operations,business_operations_management,knowledge,Retail Operations,Opérations de vente au détail,"An overview of managing retail stores, including inventory, sales, and customer service strategies.","Une vue d'ensemble de la gestion des magasins de détail, y compris l'inventaire, les ventes et le service client.",
skills-economy,business_operations_management,knowledge,Skills Economy,Économie des compétences,Understanding how skills influence economic growth and the evolving job market in a digital world.,Comprendre comment les compétences influencent la croissance économique et le marché du travail en évolution.,
smart-city-concepts,business_operations_management,knowledge,Smart City Concepts,Concepts de ville intelligente,Exploring the ideas behind interconnected urban areas using technology to improve quality of life.,Explorer les idées derrière les zones urbaines interconnectées utilisant la technologie pour améliorer la qualité de vie.,
systems-thinking-for-tech,business_operations_management,knowledge,Systems Thinking for Tech,Pensée systémique pour la tech,Applying holistic thinking to understand complex technological systems and their interactions.,Appliquer une pensée holistique pour comprendre les systèmes technologiques complexes et leurs interactions.,
technical-standards,business_operations_management,knowledge,Technical Standards,Normes techniques,Guidelines and specifications ensuring compatibility and safety of technological products.,Lignes directrices et spécifications garantissant la compatibilité et la sécurité des produits technologiques.,
technology-law,law_compliance_governance,knowledge,Technology Law,Droit des technologies,"Legal frameworks governing the development, use, and regulation of new technologies.","Cadres juridiques régissant le développement, l'utilisation et la régulation des nouvelles technologies.",
telemedicine-standards,health_biotech_medtech,knowledge,Telemedicine Standards,Normes de télémédecine,"Standards ensuring quality, safety, and interoperability in remote healthcare services.","Normes garantissant la qualité, la sécurité et l'interopérabilité dans les services de santé à distance.",
transportation-planning,industry_hardware_mobility,knowledge,Transportation Planning,Planification des transports,Designing efficient transportation systems to meet urban mobility needs.,Concevoir des systèmes de transport efficaces pour répondre aux besoins de mobilité urbaine.,
transport-regulation,law_compliance_governance,knowledge,Transport Regulation,Réglementation des transports,"Rules and policies that govern transportation safety, efficiency, and environmental impact.","Règles et politiques régissant la sécurité, l'efficacité et l'impact environnemental des transports.",
urban-planning,business_operations_management,knowledge,Urban Planning,Planification urbaine,Strategic development of land use and infrastructure to create sustainable cities.,Développement stratégique de l'utilisation des terres et des infrastructures pour créer des villes durables.,
urban-policy,law_compliance_governance,knowledge,Urban Policy,Politique urbaine,"Frameworks guiding city development, housing, transportation, and social services.","Cadres guidant le développement urbain, le logement, les transports et les services sociaux.",
bioinformatics-platforms,health_biotech_medtech,tool_platform,Bioinformatics Platforms,Plateformes de bioinformatique,Tools for analyzing biological data to support research in genomics and personalized medicine.,Outils pour analyser les données biologiques afin de soutenir la recherche en génomique et médecine personnalisée.,
cheminformatics-toolkits,business_operations_management,tool_platform,Cheminformatics Toolkits,Boîtes à outils de chémoinformatique,Software packages for chemical data analysis and drug discovery processes.,Logiciels pour l'analyse des données chimiques et la découverte de médicaments.,
civic-participation-platforms,law_compliance_governance,tool_platform,Civic Participation Platforms,Plateformes de participation citoyenne,Digital platforms enabling citizens to engage in decision-making processes.,Plateformes numériques permettant aux citoyens de participer aux processus décisionnels.,
clinical-trial-management-systems,health_biotech_medtech,tool_platform,Clinical Trial Management Systems,Systèmes de gestion des essais cliniques,Software solutions for managing clinical trial workflows and data collection.,Solutions logicielles pour gérer les flux de travail et la collecte de données des essais cliniques.,
contract-lifecycle-management,law_compliance_governance,tool_platform,Contract Lifecycle Management,Gestion du cycle de vie des contrats,Tools to automate and oversee the entire contract process from creation to renewal.,"Outils pour automatiser et superviser tout le cycle des contrats, de la création au renouvellement.",
digital-public-service-platforms,law_compliance_governance,tool_platform,Digital Public Service Platforms,Plateformes de services publics numériques,Online systems providing government services to citizens efficiently and transparently.,Systèmes en ligne offrant des services gouvernementaux aux citoyens de manière efficace et transparente.,
e-discovery-platforms,business_operations_management,tool_platform,E-Discovery Platforms,Plateformes de découverte électronique,"Tools for identifying, collecting, and analyzing electronic data for legal cases.","Outils pour identifier, collecter et analyser les données électroniques pour des affaires juridiques.",
edc-platforms,health_biotech_medtech,tool_platform,EDC Platforms,Plateformes EDC,Platforms supporting electronic data capture in clinical research and trials.,Plateformes supportant la collecte électronique de données dans la recherche clinique.,
electronic-health-record-systems,health_biotech_medtech,tool_platform,Electronic Health Record Systems,Systèmes de dossiers médicaux électroniques,Digital systems for storing and managing patient health information securely.,Systèmes numériques pour stocker et gérer en toute sécurité les informations de santé des patients.,
fhir,health_biotech_medtech,knowledge,FHIR,FHIR,A standard for exchanging healthcare information electronically.,Une norme pour l'échange électronique d'informations de santé.,
hl7-interoperability-platforms,health_biotech_medtech,tool_platform,HL7 Interoperability Platforms,Plateformes d'interopérabilité HL7,Platforms enabling different health systems to communicate seamlessly.,Plateformes permettant à différents systèmes de santé de communiquer sans problème.,
interoperability-platforms,business_operations_management,tool_platform,Interoperability Platforms,Plateformes d'interopérabilité,Systems that allow different digital tools and platforms to work together.,Systèmes permettant à différents outils et plateformes numériques de fonctionner ensemble.,
medical-imaging-platforms,health_biotech_medtech,tool_platform,Medical Imaging Platforms,Plateformes d'imagerie médicale,"Tools for capturing, analyzing, and sharing medical images for diagnosis.","Outils pour capturer, analyser et partager des images médicales pour le diagnostic.",
open-data-platforms,law_compliance_governance,tool_platform,Open Data Platforms,Plateformes de données ouvertes,Platforms that provide access to public datasets for research and innovation.,Plateformes offrant un accès aux ensembles de données publics pour la recherche et l'innovation.,
pacs-tools,health_biotech_medtech,tool_platform,PACS Tools,Outils PACS,A platform that manages and stores medical images for healthcare providers.,Une plateforme qui gère et stocke les images médicales pour les professionnels de santé.,
property-management-systems,business_operations_management,tool_platform,Property Management Systems,Systèmes de gestion immobilière,"Software solutions for managing real estate properties, tenants, and leases.","Des solutions logicielles pour gérer les biens immobiliers, les locataires et les baux.",
remote-monitoring-platforms,business_operations_management,tool_platform,Remote Monitoring Platforms,Plateformes de surveillance à distance,Tools that enable remote tracking and management of business or health data.,Des outils permettant le suivi et la gestion à distance des données professionnelles ou de santé.,
sentiment-analysis-tools,business_operations_management,tool_platform,Sentiment Analysis Tools,Outils d'analyse de sentiment,Software that analyzes text data to determine the sentiment or opinion expressed.,Un logiciel qui analyse les données textuelles pour déterminer le sentiment ou l'opinion exprimée.,
social-listening-platforms,marketing_sales_content,tool_platform,Social Listening Platforms,Plateformes d'écoute sociale,Platforms that monitor social media to gather insights on brand or market perception.,Des plateformes qui surveillent les réseaux sociaux pour recueillir des insights sur la perception des marques ou du marché.,
student-information-systems,education_learning_tech,tool_platform,Student Information Systems,Systèmes d'information étudiants,"Systems that manage student data, grades, attendance, and administrative information.","Des systèmes qui gèrent les données des étudiants, les notes, la présence et les informations administratives.",
telemedicine-platforms,health_biotech_medtech,tool_platform,Telemedicine Platforms,Plateformes de télémédecine,Platforms that facilitate remote medical consultations and healthcare services.,Des plateformes qui facilitent les consultations médicales à distance et les services de santé.,
3d-asset-creation,marketing_sales_content,hard_skill,3D Asset Creation,Création d'assets 3D,Skills involved in creating three-dimensional digital assets for various media.,Compétences pour créer des assets numériques en 3D pour divers médias.,
3d-modeling,marketing_sales_content,hard_skill,3D Modeling,Modélisation 3D,The process of creating and editing 3D models using specialized software.,Le processus de création et de modification de modèles 3D avec des logiciels spécialisés.,
adaptive-bitrate-engineering,marketing_sales_content,hard_skill,Adaptive Bitrate Engineering,Ingénierie du débit adaptatif,Techniques to optimize video streaming quality based on network conditions.,Techniques pour optimiser la qualité du streaming vidéo selon les conditions du réseau.,
ar-filter-creation,marketing_sales_content,hard_skill,AR Filter Creation,Création de filtres AR,Designing augmented reality filters for social media and marketing.,Conception de filtres de réalité augmentée pour les réseaux sociaux et le marketing.,
audience-development,marketing_sales_content,hard_skill,Audience Development,Développement d'audience,Strategies to grow and engage a target audience across digital platforms.,Stratégies pour développer et engager une audience cible sur les plateformes numériques.,
audio-generation,marketing_sales_content,hard_skill,Audio Generation,Génération d'audio,Creating audio content using digital tools and AI technologies.,Créer du contenu audio à l'aide d'outils numériques et de technologies d'IA.,
community-building,marketing_sales_content,hard_skill,Community Building,Création de communauté,Techniques to foster and grow online communities around a brand or interest.,Techniques pour favoriser et développer des communautés en ligne autour d'une marque ou d'un intérêt.,
content-integrity,marketing_sales_content,hard_skill,Content Integrity,Intégrité du contenu,Ensuring the accuracy and authenticity of digital content.,Garantir l'exactitude et l'authenticité du contenu numérique.,
content-production,marketing_sales_content,hard_skill,Content Production,Production de contenu,The process of creating and assembling digital media content.,Le processus de création et de montage de contenu multimédia numérique.,
content-protection,marketing_sales_content,hard_skill,Content Protection,Protection du contenu,Methods to safeguard digital content from unauthorized use or piracy.,Méthodes pour protéger le contenu numérique contre l'utilisation non autorisée ou le piratage.,
content-strategy,marketing_sales_content,hard_skill,Content Strategy,Stratégie de contenu,Planning and managing the creation and distribution of digital content.,Planification et gestion de la création et de la diffusion de contenu numérique.,
creator-monetization,marketing_sales_content,hard_skill,Creator Monetization,Monétisation des créateurs,Techniques to generate revenue from digital content creators.,Techniques pour générer des revenus à partir des créateurs de contenu numérique.,
digital-audio-workstation-engineering,marketing_sales_content,hard_skill,Digital Audio Workstation Engineering,Ingénierie des stations de travail audio numériques,Skills in designing and managing digital audio production environments.,Compétences en conception et gestion d'environnements de production audio numériques.,
digital-rights-management,marketing_sales_content,hard_skill,Digital Rights Management,Gestion des droits numériques,Technologies to protect and control access to digital media rights.,Technologies pour protéger et contrôler l'accès aux droits des médias numériques.,
e-sports-broadcast,marketing_sales_content,hard_skill,E-sports Broadcast,Diffusion e-sport,Skills in live streaming and broadcasting competitive gaming events.,Compétences en diffusion en direct et en streaming d'événements de jeux vidéo compétitifs.,
environment-modeling,marketing_sales_content,hard_skill,Environment Modeling,Modélisation d'environnement,Creating digital models of real-world environments for various applications.,Créer des modèles numériques d'environnements réels pour diverses applications.,
game-design,marketing_sales_content,hard_skill,Game Design,Conception de jeu,"Designing the rules, story, and mechanics of video games.","Conception des règles, de l'histoire et des mécaniques des jeux vidéo.",
live-operations,marketing_sales_content,hard_skill,Live Operations,Opérations en direct,Managing real-time activities during digital content or game launches.,Gérer les activités en temps réel lors du lancement de contenus ou de jeux numériques.,
live-streaming-production,marketing_sales_content,hard_skill,Live Streaming Production,Production de diffusion en direct,"Learn how to produce live streaming content for events, webinars, and broadcasts using various tools and techniques.","Apprenez à produire des diffusions en direct pour des événements, webinaires et émissions en utilisant divers outils et techniques.",
misinformation-detection,marketing_sales_content,hard_skill,Misinformation Detection,Détection de la désinformation,Develop skills to identify and combat misinformation online through fact-checking and analysis methods.,Développez des compétences pour identifier et lutter contre la désinformation en ligne grâce à des méthodes de vérification et d'analyse.,
motion-graphics,marketing_sales_content,hard_skill,Motion Graphics,Animation graphique,Create engaging animations and graphics to enhance digital content and marketing campaigns.,Créez des animations et graphiques attrayants pour améliorer le contenu numérique et les campagnes marketing.,
music-distribution,marketing_sales_content,hard_skill,Music Distribution,Distribution musicale,Understand how to distribute music across various platforms and manage digital rights effectively.,Comprenez comment distribuer la musique sur différentes plateformes et gérer efficacement les droits numériques.,
music-production,marketing_sales_content,hard_skill,Music Production,Production musicale,"Learn the process of creating, recording, and producing music using digital tools and software.","Apprenez le processus de création, d'enregistrement et de production musicale avec des outils numériques.",
newsletter-publishing,marketing_sales_content,hard_skill,Newsletter Publishing,Publication de newsletters,"Gain skills in creating, managing, and distributing newsletters to engage audiences effectively.","Acquérez des compétences pour créer, gérer et distribuer des newsletters afin d'engager efficacement votre audience.",
personalization-engineering,marketing_sales_content,hard_skill,Personalization Engineering,Ingénierie de la personnalisation,Design and implement personalized user experiences through data analysis and algorithm development.,Concevez et mettez en œuvre des expériences utilisateur personnalisées grâce à l'analyse de données et au développement d'algorithmes.,
podcast-production,marketing_sales_content,hard_skill,Podcast Production,Production de podcasts,"Learn how to produce, record, and publish engaging podcasts for various audiences.","Apprenez à produire, enregistrer et publier des podcasts captivants pour différents publics.",
real-time-3d-rendering,marketing_sales_content,hard_skill,Real-time 3D Rendering,Rendu 3D en temps réel,"Master techniques for rendering 3D graphics in real-time for games, simulations, and visualizations.","Maîtrisez les techniques de rendu 3D en temps réel pour les jeux, simulations et visualisations.",
royalty-operations,marketing_sales_content,hard_skill,Royalty Operations,Gestion des redevances,Manage royalty calculations and distributions for content creators and rights holders.,Gérez les calculs et distributions de redevances pour les créateurs de contenu et détenteurs de droits.,
short-form-video-production,marketing_sales_content,hard_skill,Short-form Video Production,Production de vidéos courtes,Create compelling short videos optimized for social media platforms and mobile consumption.,Créez des vidéos courtes attrayantes optimisées pour les réseaux sociaux et la consommation mobile.,
sound-design,marketing_sales_content,hard_skill,Sound Design,Conception sonore,Develop skills in creating and manipulating audio elements for multimedia projects.,Développez des compétences en création et manipulation d'éléments audio pour des projets multimédias.,
video-editing,marketing_sales_content,hard_skill,Video Editing,Montage vidéo,Learn to edit videos professionally using editing software to produce polished content.,Apprenez à monter des vidéos professionnellement avec des logiciels d'édition pour produire un contenu soigné.,
content-moderation,marketing_sales_content,knowledge,Content Moderation,Modération de contenu,Understand how to monitor and manage online content to ensure community guidelines are followed.,Comprenez comment surveiller et gérer le contenu en ligne pour assurer le respect des règles communautaires.,
creator-economy,marketing_sales_content,knowledge,Creator Economy,Économie des créateurs,Explore the economic models and platforms that support content creators and influencers.,Explorez les modèles économiques et plateformes qui soutiennent les créateurs de contenu et influenceurs.,
digital-storytelling,marketing_sales_content,knowledge,Digital Storytelling,Narration numérique,Master techniques for telling compelling stories through digital media and multimedia formats.,Maîtrisez les techniques pour raconter des histoires captivantes via les médias numériques et formats multimédias.,
distribution-dynamics,marketing_sales_content,knowledge,Distribution Dynamics,Dynamiques de distribution,Learn how content distribution strategies impact reach and engagement across platforms.,Apprenez comment les stratégies de distribution de contenu influencent la portée et l'engagement sur les plateformes.,
media-copyright,marketing_sales_content,knowledge,Media Copyright,Droit d'auteur des médias,Understand legal aspects of media copyright to protect and manage digital content rights.,Comprenez les aspects juridiques du droit d'auteur des médias pour protéger et gérer les droits du contenu numérique.,
music-rights-licensing,marketing_sales_content,knowledge,"Music Rights, Licensing",Droits et licences musicales,Learn about licensing and rights management for music to ensure legal distribution and use.,Apprenez la gestion des licences et des droits pour assurer une distribution et une utilisation légales de la musique.,
personal-branding,marketing_sales_content,knowledge,Personal Branding,Marque personnelle,Develop strategies to build and maintain a strong personal brand online and offline.,Développez des stratégies pour construire et maintenir une marque personnelle forte en ligne et hors ligne.,
platform-algorithms,marketing_sales_content,knowledge,Platform Algorithms,Algorithmes de plateforme,Understand how platform algorithms influence content visibility and user engagement.,Comprenez comment les algorithmes des plateformes influencent la visibilité du contenu et l'engagement des utilisateurs.,
player-psychology,marketing_sales_content,knowledge,Player Psychology,Psychologie des joueurs,Study the psychological factors that influence player behavior and engagement in games.,Étudiez les facteurs psychologiques qui influencent le comportement et l'engagement des joueurs dans les jeux.,
royalties,marketing_sales_content,knowledge,Royalties,Redevances,Learn about the calculation and management of royalties for creative works and content.,Apprenez le calcul et la gestion des redevances pour les œuvres créatives et le contenu.,
ableton-live,marketing_sales_content,tool_platform,Ableton Live,Ableton Live,"Ableton Live is a digital audio workstation for music production, live performance, and DJing with real-time editing.","Ableton Live est une station audio numérique pour la production musicale, la performance live et le DJing avec édition en temps réel.",https://ableton.com/en/live
adobe-premiere-pro,marketing_sales_content,tool_platform,Adobe Premiere Pro,Adobe Premiere Pro,"Adobe Premiere Pro is a professional video editing software used for film, TV, and web content creation.","Adobe Premiere Pro est un logiciel professionnel de montage vidéo utilisé pour la création de films, télévision et contenus web.",https://adobe.com/products/premiere.html
capcut,marketing_sales_content,tool_platform,CapCut,CapCut,A user-friendly video editing app popular for creating short videos and social media content.,"Une application de montage vidéo conviviale, très utilisée pour créer des vidéos courtes et du contenu pour les réseaux sociaux.",https://capcut.com
davinci-resolve,marketing_sales_content,tool_platform,DaVinci Resolve,DaVinci Resolve,A professional video editing and color correction software used in film and television production.,Un logiciel de montage vidéo professionnel et de correction colorimétrique utilisé dans la production cinématographique et télévisée.,
elevenlabs,marketing_sales_content,tool_platform,ElevenLabs,ElevenLabs,ElevenLabs offers advanced AI voice synthesis technology for creating realistic and expressive speech from text.,ElevenLabs propose une technologie avancée de synthèse vocale IA pour créer des voix réalistes et expressives à partir de texte.,https://elevenlabs.io
ffmpeg,marketing_sales_content,tool_platform,FFmpeg,FFmpeg,"An open-source multimedia framework for handling video, audio, and other multimedia files and streams.","Un cadre multimédia open-source pour la manipulation de fichiers et flux vidéo, audio et autres médias.",https://ffmpeg.org
flux,ai_ml_automation,tool_platform,Flux,Flux,"Flux is a platform or tool related to AI and machine learning automation, details are not confirmed.","Flux est une plateforme ou un outil lié à l'automatisation IA et apprentissage automatique, détails non confirmés.",
gemini-banana,ai_ml_automation,tool_platform,Gemini Banana,Gemini Banana,"Gemini Banana refers to Google Gemini’s Nano Banana image generation and editing models for creating, modifying, and iterating visual content from text and image prompts.","Gemini Banana désigne les modèles de génération et d’édition d’images Nano Banana de Google Gemini, utilisés pour créer et modifier des visuels à partir de prompts texte ou image.",https://ai.google.dev/gemini-api/docs/image-generation
gpt-image,marketing_sales_content,tool_platform,GPT Image,GPT Image,"GPT Image is a tool that generates images from text prompts using AI, enhancing creative content production.","GPT Image est un outil qui génère des images à partir de descriptions textuelles grâce à l’IA, améliorant la création de contenu.",
kling,marketing_sales_content,tool_platform,Kling,Kling,"Kling is a platform designed for marketing and sales content creation, leveraging AI to optimize communication.","Kling est une plateforme dédiée à la création de contenu marketing et commercial, utilisant l’IA pour optimiser la communication.",
luma-ai,marketing_sales_content,tool_platform,Luma AI,Luma AI,Luma AI offers advanced AI-powered tools for creating and editing 3D visuals and immersive content.,Luma AI propose des outils avancés alimentés par l’IA pour créer et éditer des visuels 3D et du contenu immersif.,https://lumalabs.ai
midjourney,marketing_sales_content,tool_platform,Midjourney,Midjourney,"An AI-powered tool for generating high-quality images from text prompts, popular among artists and designers.","Un outil alimenté par l'IA pour générer des images de haute qualité à partir de descriptions textuelles, très prisé par les artistes et designers.",https://midjourney.com
obs-studio,marketing_sales_content,tool_platform,OBS Studio,OBS Studio,A free and open-source software for live streaming and recording video content.,Un logiciel gratuit et open-source pour la diffusion en direct et l'enregistrement de vidéos.,
spotify-for-artists,marketing_sales_content,tool_platform,Spotify for Artists,Spotify for Artists,A platform that provides artists with tools to manage their music presence and analyze audience data.,Une plateforme offrant aux artistes des outils pour gérer leur présence musicale et analyser leur audience.,https://artists.spotify.com
stable-diffusion,marketing_sales_content,tool_platform,Stable Diffusion,Stable Diffusion,"An AI model for generating detailed images from text prompts, widely used in creative projects.","Un modèle d'IA pour générer des images détaillées à partir de descriptions textuelles, très utilisé dans la création artistique.",
suno,marketing_sales_content,tool_platform,Suno,Suno,Suno is an AI platform focused on audio generation and sound design for creative projects.,Suno est une plateforme IA spécialisée dans la génération audio et la conception sonore pour projets créatifs.,https://suno.ai
twitch,marketing_sales_content,tool_platform,Twitch,Twitch,"A live streaming platform mainly used for gaming, e-sports, and creative content sharing.","Une plateforme de streaming en direct principalement utilisée pour le jeu vidéo, l'e-sport et le partage de contenus créatifs.",https://twitch.tv
unity,marketing_sales_content,tool_platform,Unity,Unity,A popular game development platform used for creating 2D and 3D interactive content and games.,Une plateforme de développement de jeux très utilisée pour créer des contenus interactifs en 2D et 3D.,https://unity.com
unreal-engine,marketing_sales_content,tool_platform,Unreal Engine,Unreal Engine,"A powerful real-time 3D creation tool used in game development, film, and visualization.","Un outil de création 3D en temps réel très puissant, utilisé dans le développement de jeux, le cinéma et la visualisation.",
adaptive-learning-personalization,education_learning_tech,hard_skill,Adaptive Learning Personalization,Personnalisation de l’apprentissage adaptatif,Adaptive learning personalization tailors educational content to individual learner needs using data and AI.,La personnalisation de l’apprentissage adaptatif adapte le contenu éducatif aux besoins individuels des apprenants grâce aux données et à l’IA.,
ai-product-management,product_ux_design,hard_skill,AI Product Management,Gestion de produit IA,AI product management involves overseeing the development and deployment of AI-driven products and features.,La gestion de produit IA consiste à superviser le développement et le déploiement de produits et fonctionnalités basés sur l’IA.,
backlog-prioritization,product_ux_design,hard_skill,Backlog Prioritization,Priorisation du backlog,Backlog prioritization is the process of ranking tasks and features to optimize product development workflows.,La priorisation du backlog est le processus de classement des tâches et fonctionnalités pour optimiser le développement produit.,
brand-identity-design,marketing_sales_content,hard_skill,Brand Identity Design,Conception d'identité de marque,The process of creating visual elements that represent a brand's personality and values.,Le processus de création d'éléments visuels qui incarnent la personnalité et les valeurs d'une marque.,
building-information-modeling,industry_hardware_mobility,hard_skill,Building Information Modeling,Modélisation des données du bâtiment (BIM),Building Information Modeling (BIM) is a digital representation process for managing building data throughout its lifecycle.,La modélisation des données du bâtiment (BIM) est un processus numérique de gestion des données du bâtiment tout au long de son cycle de vie.,
curriculum-design,education_learning_tech,hard_skill,Curriculum Design,Conception de curriculum,Curriculum design is the structured planning of educational content and learning experiences for effective teaching.,La conception de curriculum est la planification structurée des contenus éducatifs et des expériences d’apprentissage pour un enseignement efficace.,
design-systems,product_ux_design,hard_skill,Design Systems,Systèmes de design,A collection of reusable components and standards to ensure consistency across digital products.,Une collection de composants réutilisables et de normes pour assurer la cohérence des produits numériques.,
digital-therapeutics-design,health_biotech_medtech,hard_skill,Digital Therapeutics Design,Conception de thérapies numériques,Digital therapeutics design focuses on creating software-based interventions to prevent or treat medical conditions.,La conception de thérapies numériques vise à créer des interventions logicielles pour prévenir ou traiter des pathologies.,
feature-specification,product_ux_design,hard_skill,Feature Specification,Spécification de fonctionnalités,Learn how to define detailed feature specifications for product development.,Apprenez à définir des spécifications de fonctionnalités détaillées pour le développement de produits.,
graphic-design,product_ux_design,hard_skill,Graphic Design,Conception graphique,Develop skills in creating visual content and layouts for digital and print media.,Développez des compétences en création de contenus visuels et de mises en page pour le numérique et l'impression.,
information-architecture,product_ux_design,hard_skill,Information Architecture,Architecture de l’information,Understand how to organize and structure information for better user experience.,Comprenez comment organiser et structurer l'information pour une meilleure expérience utilisateur.,
instructional-design,education_learning_tech,hard_skill,Instructional Design,Ingénierie pédagogique,Learn to design effective educational experiences and learning materials.,Apprenez à concevoir des expériences éducatives efficaces et des supports d'apprentissage.,
interaction-design,product_ux_design,hard_skill,Interaction Design,Conception d'interaction,Master the principles of designing engaging and intuitive user interactions.,Maîtrisez les principes de conception d'interactions utilisateur engageantes et intuitives.,
journey-mapping,product_ux_design,hard_skill,Journey Mapping,Cartographie des parcours,Create visual maps of user journeys to improve product and service design.,Créez des cartes visuelles des parcours utilisateur pour améliorer la conception de produits et services.,
learning-engineering,education_learning_tech,hard_skill,Learning Engineering,Ingénierie de l’apprentissage,Apply engineering principles to optimize learning experiences and systems.,Appliquez des principes d'ingénierie pour optimiser les expériences et systèmes d'apprentissage.,
motion-design,product_ux_design,hard_skill,Motion Design,Motion design,Design animations and motion graphics to enhance digital interfaces.,Concevez des animations et graphiques en mouvement pour améliorer les interfaces numériques.,
player-economy-design,product_ux_design,hard_skill,Player Economy Design,Conception de l'économie de jeu,Design economic systems within games to enhance player engagement and retention.,Concevez des systèmes économiques dans les jeux pour renforcer l'engagement et la fidélisation des joueurs.,
product-discovery,product_ux_design,hard_skill,Product Discovery,Découverte de produit,Learn methods to identify user needs and validate product ideas early.,Apprenez à identifier les besoins des utilisateurs et à valider les idées de produits dès le début.,
product-roadmapping,product_ux_design,hard_skill,Product Roadmapping,Élaboration de la feuille de route produit,Develop skills to plan and communicate the strategic development of products.,Développez des compétences pour planifier et communiquer la stratégie de développement des produits.,
product-led-growth,product_ux_design,hard_skill,Product-Led Growth,Croissance pilotée par le produit (PLG),Implement strategies that drive growth through the product itself.,Mettez en œuvre des stratégies qui stimulent la croissance par le produit lui-même.,
prototyping,product_ux_design,hard_skill,Prototyping,Prototypage,Create prototypes to test and refine product ideas before full development.,Créez des prototypes pour tester et affiner les idées de produits avant le développement complet.,
service-design,product_ux_design,hard_skill,Service Design,Conception de services,Design comprehensive service experiences to improve customer satisfaction.,Concevez des expériences de service globales pour améliorer la satisfaction client.,
survey-design,product_ux_design,hard_skill,Survey Design,Conception d'enquêtes,Learn to design effective surveys to gather valuable user feedback.,Apprenez à concevoir des enquêtes efficaces pour recueillir des retours utilisateurs précieux.,
talent-acquisition-automation,product_ux_design,hard_skill,Talent Acquisition Automation,Automatisation de l’acquisition de talents,Automate recruitment processes to streamline talent acquisition.,Automatisez les processus de recrutement pour simplifier l'acquisition de talents.,
usability-testing,product_ux_design,hard_skill,Usability Testing,Tests d'utilisabilité,Conduct tests to evaluate and improve the usability of digital products.,Réalisez des tests pour évaluer et améliorer l'utilisabilité des produits numériques.,
user-interviews,product_ux_design,hard_skill,User Interviews,Entretiens utilisateurs,Gather insights by conducting interviews with users to inform design decisions.,Recueillez des insights en menant des entretiens avec les utilisateurs pour orienter la conception.,
ux-writing,product_ux_design,hard_skill,UX Writing,Rédaction UX,Write clear and concise content to improve user experience and interface clarity.,Rédigez un contenu clair et concis pour améliorer l'expérience utilisateur et la clarté de l'interface.,
visual-design,product_ux_design,hard_skill,Visual Design,Conception visuelle,Create visually appealing designs that communicate brand and product identity.,Créez des designs visuellement attrayants qui communiquent l'identité de la marque et du produit.,
